N°,Periodo,PUNTAJE_ICFES,PUNTAJE_PONDERADO,ESTADO
426,2021-1,330.00,66.15,NO
427,2021-1,325.00,66.15,NO
428,2021-1,324.00,66.15,NO
429,2021-1,323.00,66.15,NO
430,2021-1,333.00,66.10,NO
431,2021-1,333.00,66.10,NO
432,2021-1,331.00,66.10,NO
433,2021-1,330.00,66.10,NO
434,2021-1,330.00,66.10,NO
435,2021-1,329.00,66.10,NO
436,2021-1,328.00,66.10,NO
437,2021-1,325.00,66.10,NO
438,2021-1,322.00,66.10,NO
439,2021-1,319.00,66.10,NO
440,2021-1,333.00,66.05,NO
441,2021-1,331.00,66.05,NO
442,2021-1,330.00,66.05,NO
443,2021-1,319.00,66.05,NO
444,2021-1,337.00,66.00,NO
445,2021-1,326.00,66.00,NO
446,2021-1,324.00,66.00,NO
447,2021-1,320.00,66.00,NO
448,2021-1,330.00,65.95,NO
449,2021-1,324.00,65.95,NO
450,2021-1,322.00,65.95,NO
451,2021-1,317.00,65.95,NO
452,2021-1,337.00,65.90,NO
453,2021-1,332.00,65.90,NO
454,2021-1,330.00,65.90,NO
455,2021-1,324.00,65.90,NO
456,2021-1,327.00,65.85,NO
457,2021-1,327.00,65.85,NO
458,2021-1,324.00,65.85,NO
459,2021-1,318.00,65.85,NO
460,2021-1,331.00,65.80,NO
461,2021-1,326.00,65.80,NO
462,2021-1,326.00,65.80,NO
463,2021-1,318.00,65.80,NO
464,2021-1,330.00,65.75,NO
465,2021-1,329.00,65.75,NO
466,2021-1,327.00,65.75,NO
467,2021-1,326.00,65.70,NO
468,2021-1,335.00,65.65,NO
469,2021-1,330.00,65.65,NO
470,2021-1,330.00,65.65,NO
471,2021-1,327.00,65.65,NO
472,2021-1,322.00,65.65,NO
473,2021-1,317.00,65.65,NO
474,2021-1,314.00,65.65,NO
475,2021-1,327.00,65.60,NO
476,2021-1,326.00,65.60,NO
477,2021-1,330.00,65.55,NO
478,2021-1,311.00,65.55,NO
479,2021-1,328.00,65.50,NO
480,2021-1,328.00,65.50,NO
481,2021-1,325.00,65.50,NO
482,2021-1,318.00,65.50,NO
483,2021-1,330.00,65.45,NO
484,2021-1,327.00,65.45,NO
485,2021-1,327.00,65.45,NO
486,2021-1,312.00,65.45,NO
487,2021-1,326.00,65.40,NO
488,2021-1,326.00,65.40,NO
489,2021-1,325.00,65.40,NO
490,2021-1,321.00,65.40,NO
491,2021-1,333.00,65.35,NO
492,2021-1,333.00,65.35,NO
493,2021-1,330.00,65.35,NO
494,2021-1,327.00,65.35,NO
495,2021-1,317.00,65.35,NO
496,2021-1,315.00,65.35,NO
497,2021-1,334.00,65.30,NO
498,2021-1,330.00,65.30,NO
499,2021-1,328.00,65.30,NO
500,2021-1,325.00,65.30,NO
501,2021-1,320.00,65.30,NO
502,2021-1,327.00,65.25,NO
503,2021-1,324.00,65.25,NO
504,2021-1,321.00,65.25,NO
505,2021-1,325.00,65.20,NO
506,2021-1,325.00,65.20,NO
507,2021-1,327.00,65.15,NO
508,2021-1,312.00,65.15,NO
509,2021-1,326.00,65.10,NO
510,2021-1,322.00,65.10,NO
511,2021-1,332.00,65.05,NO
512,2021-1,326.00,65.05,NO
513,2021-1,322.00,65.05,NO
514,2021-1,329.00,65.00,NO
515,2021-1,325.00,65.00,NO
516,2021-1,329.00,64.95,NO
517,2021-1,329.00,64.95,NO
518,2021-1,322.00,64.90,NO
519,2021-1,321.00,64.90,NO
520,2021-1,329.00,64.85,NO
521,2021-1,321.00,64.85,NO
522,2021-1,320.00,64.85,NO
523,2021-1,318.00,64.85,NO
