Periodo,PUNTAJE_ICFES,PUNTAJE_PONDERADO,ESTADO
2018-1,319.00,66.20,NO
2018-1,324.00,66.15,NO
2018-1,325.00,66.15,NO
2018-1,332.00,66.15,NO
2018-1,332.00,66.15,NO
2018-1,327.00,66.15,NO
2018-1,333.00,66.15,NO
2018-1,332.00,66.15,NO
2018-1,328.00,66.15,NO
2018-1,333.00,66.15,NO
2018-1,333.00,66.15,NO
2018-1,330.00,66.15,NO
2018-1,328.00,66.10,NO
2018-1,321.00,66.10,NO
2018-1,327.00,66.10,NO
2018-1,328.00,66.05,NO
2018-1,324.00,66.05,NO
2018-1,338.00,66.05,NO
2018-1,325.00,66.05,NO
2018-1,322.00,66.05,NO
2018-1,321.00,66.05,NO
2018-1,323.00,66.05,NO
2018-1,321.00,66.00,NO
2018-1,333.00,66.00,NO
2018-1,323.00,66.00,NO
2018-1,330.00,65.95,NO
2018-1,331.00,65.95,NO
2018-1,330.00,65.95,NO
2018-1,328.00,65.95,NO
2018-1,334.00,65.90,NO
2018-1,336.00,65.90,NO
2018-1,330.00,65.90,NO
2018-1,333.00,65.90,NO
2018-1,327.00,65.85,NO
2018-1,327.00,65.85,NO
2018-1,330.00,65.80,NO
2018-1,316.00,65.80,NO
2018-1,328.00,65.80,NO
2018-1,331.00,65.80,NO
2018-1,329.00,65.80,NO
2018-1,337.00,65.80,NO
2018-1,326.00,65.80,NO
2018-1,339.00,65.75,NO
2018-1,327.00,65.75,NO
2018-1,335.00,65.70,NO
2018-1,320.00,65.70,NO
2018-1,315.00,65.70,NO
2018-1,336.00,65.70,NO
2018-1,327.00,65.70,NO
2018-1,325.00,65.65,NO
2018-1,334.00,65.65,NO
2018-1,328.00,65.65,NO
2018-1,317.00,65.65,NO
2018-1,322.00,65.60,NO
2018-1,328.00,65.60,NO
2018-1,317.00,65.60,NO
2018-1,320.00,65.60,NO
2018-1,326.00,65.55,NO
2018-1,328.00,65.55,NO
2018-1,322.00,65.50,NO
2018-1,332.00,65.50,NO
2018-1,321.00,65.50,NO
2018-1,330.00,65.50,NO
2018-1,320.00,65.50,NO
2018-1,323.00,65.50,NO
2018-1,328.00,65.50,NO
2018-1,325.00,65.45,NO
2018-1,328.00,65.45,NO
2018-1,318.00,65.45,NO
2018-1,315.00,65.45,NO
2018-1,318.00,65.40,NO
2018-1,326.00,65.40,NO
2018-1,328.00,65.40,NO
2018-1,335.00,65.40,NO
2018-1,331.00,65.40,NO
2018-1,318.00,65.40,NO
2018-1,323.00,65.40,NO
2018-1,327.00,65.40,NO
2018-1,322.00,65.35,NO
2018-1,325.00,65.35,NO
2018-1,322.00,65.35,NO
2018-1,327.00,65.30,NO
2018-1,328.00,65.30,NO
2018-1,316.00,65.30,NO
2018-1,326.00,65.30,NO
2018-1,322.00,65.30,NO
2018-1,318.00,65.25,NO
2018-1,324.00,65.25,NO
2018-1,328.00,65.25,NO
2018-1,323.00,65.25,NO
2018-1,329.00,65.25,NO
2018-1,318.00,65.25,NO
2018-1,328.00,65.25,NO
2018-1,325.00,65.25,NO
2018-1,315.00,65.20,NO
2018-1,327.00,65.20,NO
2018-1,327.00,65.20,NO
2018-1,318.00,65.15,NO
2018-1,311.00,65.15,NO
2018-1,320.00,65.15,NO
2018-1,312.00,65.15,NO
2018-1,327.00,65.15,NO
2018-1,331.00,65.15,NO
2018-1,325.00,65.10,NO
2018-1,325.00,65.10,NO
2018-1,327.00,65.10,NO
2018-1,320.00,65.10,NO
2018-1,330.00,65.10,NO
2018-1,329.00,65.05,NO
2018-1,318.00,65.05,NO
2018-1,312.00,65.05,NO
2018-1,327.00,65.00,NO
2018-1,327.00,65.00,NO
2018-1,312.00,64.95,NO
2018-1,326.00,64.95,NO
2018-1,330.00,64.95,NO
2018-1,318.00,64.95,NO
2018-1,326.00,64.95,NO
2018-1,333.00,64.95,NO
2018-1,318.00,64.90,NO
2018-1,325.00,64.90,NO
2018-1,320.00,64.90,NO
2018-1,325.00,64.90,NO
2018-1,320.00,64.90,NO
2018-1,328.00,64.90,NO
2018-1,323.00,64.85,NO
2018-1,327.00,64.85,NO
2018-1,318.00,64.85,NO
2018-1,328.00,64.80,NO
2018-1,318.00,64.80,NO
2018-1,319.00,64.80,NO
2018-1,332.00,64.80,NO
2018-1,320.00,64.80,NO
2018-1,329.00,64.75,NO
2018-1,326.00,64.75,NO
2018-1,322.00,64.75,NO
2018-1,323.00,64.75,NO
2018-1,323.00,64.75,NO
2018-1,322.00,64.75,NO
2018-1,328.00,64.75,NO
2018-1,317.00,64.70,NO
2018-1,323.00,64.70,NO
2018-1,318.00,64.70,NO
2018-1,315.00,64.70,NO
2018-1,319.00,64.70,NO
2018-1,323.00,64.70,NO
2018-1,320.00,64.65,NO
2018-1,307.00,64.65,NO
2018-1,318.00,64.65,NO
2018-1,320.00,64.65,NO
2018-1,331.00,64.60,NO
2018-1,322.00,64.60,NO
2018-1,322.00,64.60,NO
2018-1,322.00,64.60,NO
2018-1,319.00,64.60,NO
2018-1,332.00,64.60,NO
2018-1,324.00,64.60,NO
2018-1,317.00,64.60,NO
2018-1,318.00,64.55,NO
2018-1,322.00,64.55,NO
2018-1,329.00,64.55,NO
2018-1,312.00,64.55,NO
2018-1,330.00,64.50,NO
2018-1,330.00,64.50,NO
2018-1,317.00,64.50,NO
2018-1,321.00,64.50,NO
2018-1,330.00,64.45,NO
2018-1,321.00,64.45,NO
2018-1,315.00,64.45,NO
2018-1,322.00,64.45,NO
2018-1,322.00,64.45,NO
2018-1,313.00,64.40,NO
2018-1,326.00,64.40,NO
2018-1,320.00,64.35,NO
2018-1,323.00,64.30,NO
2018-1,310.00,64.30,NO
2018-1,317.00,64.30,NO
2018-1,322.00,64.30,NO
2018-1,321.00,64.30,NO
2018-1,313.00,64.30,NO
2018-1,319.00,64.25,NO
2018-1,337.00,64.25,NO
2018-1,316.00,64.25,NO
2018-1,323.00,64.20,NO
2018-1,323.00,64.20,NO
2018-1,324.00,64.20,NO
2018-1,323.00,64.20,NO
2018-1,319.00,64.20,NO
2018-1,308.00,64.20,NO
2018-1,319.00,64.20,NO
2018-1,320.00,64.20,NO
2018-1,317.00,64.15,NO
2018-1,322.00,64.15,NO
2018-1,317.00,64.15,NO
2018-1,324.00,64.15,NO
2018-1,326.00,64.15,NO
